mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,mean_iat,std_iat,max_iat,flow_duration,packet_count,large_packet_ratio,burst_density,mean_burst_time,label,group_id
89.72,15.656359730154387,70.0,112.0,8972,0.00042935092039782593,0.0005251229043860508,0.0022745132446289062,0.042505741119384766,100,0.0,211072.4031936763,0.042505741119384766,signaling,0
100.0,51.381514185551204,70.0,469.0,10000,0.00030660870099308513,0.0002555704903073837,0.0013420581817626953,0.03035426139831543,100,0.0,329432.1820781603,0.03035426139831543,signaling,0
98.8,16.88549673536435,70.0,112.0,9880,0.0003411191882509174,0.0002749008942919742,0.0011801719665527344,0.03377079963684082,100,0.0,292551.77711116563,0.03377079963684082,signaling,0
106.78,11.561643481789257,70.0,112.0,10678,0.00033710701297027894,0.0001925054501774031,0.0008547306060791016,0.03337359428405762,100,0.0,319943.9642357141,0.03337359428405762,signaling,0
103.15,51.18581346427934,70.0,469.0,10315,0.0008328972440777403,0.0014598938559277038,0.009731054306030273,0.08245682716369629,100,0.0,125094.24944611426,0.08245682716369629,signaling,0
94.21,66.79555299568976,70.0,469.0,9421,0.0013386986472389915,0.0030485549250907867,0.01740264892578125,0.13253116607666016,100,0.0,71084.63008557969,0.13253116607666016,signaling,0
90.32,50.48205225622271,70.0,469.0,9032,0.0012379318776756826,0.0024363516692007736,0.016340970993041992,0.12255525588989258,100,0.0,73696.76834868846,0.12255525588989258,signaling,0
83.48,6.885462947398672,70.0,88.0,8348,0.0005556838680999448,0.0009224369888948215,0.004678249359130859,0.05501270294189453,100,0.0,151744.01201128302,0.05501270294189453,signaling,0
91.26,60.148253507479346,70.0,469.0,9126,0.001357938304091945,0.0033051783099888247,0.021404266357421875,0.13443589210510254,100,0.0,67883.15214000417,0.13443589210510254,signaling,0
94.78,70.4611353868216,70.0,469.0,9478,0.001229596860481031,0.0032608619068693655,0.02526569366455078,0.12173008918762207,100,0.0,77860.14290393573,0.12173008918762207,signaling,0
87.3,51.17743643442879,70.0,469.0,8730,0.0013897587554623381,0.003099009251451808,0.020081043243408203,0.13758611679077148,100,0.0,63450.708203121205,0.13758611679077148,signaling,0
86.8,51.05115081954568,70.0,469.0,8680,0.0011983543935448232,0.002625605521069028,0.015466690063476562,0.1186370849609375,100,0.0,73163.68940764642,0.1186370849609375,signaling,0
96.35,76.79731440616919,70.0,469.0,9635,0.0015947722425364486,0.003296531338278002,0.018259763717651367,0.1578824520111084,100,0.0,61026.02823329515,0.1578824520111084,signaling,0
86.76,51.093271572683626,70.0,469.0,8676,0.0016171763641665681,0.003631409248991515,0.02542400360107422,0.16010046005249023,100,0.0,54190.636344949766,0.16010046005249023,signaling,0
108.53,95.0236239047954,70.0,469.0,10853,0.003239537730361476,0.006959216134751239,0.044580698013305664,0.32071423530578613,100,0.0,33839.98889124242,0.32071423530578613,signaling,0
89.84,64.2910133688994,70.0,469.0,8984,0.0013812840586960918,0.003145989641624514,0.015211820602416992,0.13674712181091309,100,0.0,65697.42882774305,0.13674712181091309,signaling,0
96.88,76.69293057381495,70.0,469.0,9688,0.0020676116750697896,0.004602862397312432,0.025241613388061523,0.20469355583190918,100,0.0,47329.055531675105,0.20469355583190918,signaling,0
98.08,70.17886861441983,70.0,469.0,9808,0.0018144183688693577,0.003248736756161731,0.022341489791870117,0.1796274185180664,100,0.0,54601.60525219758,0.1796274185180664,signaling,0
90.32,58.954368794856926,70.0,469.0,9032,0.0014822097739788018,0.003027026366682056,0.01541590690612793,0.14673876762390137,100,0.0,61551.14013230074,0.14673876762390137,signaling,0
87.63,50.9597203681496,70.0,469.0,8763,0.0010584291785654396,0.001800035229427083,0.008339643478393555,0.10478448867797852,100,0.0,83627.99191527379,0.10478448867797852,signaling,0
86.62,51.48315841127077,70.0,469.0,8662,0.0005794631110297309,0.0013774765801686764,0.008407115936279297,0.05736684799194336,100,0.0,150990.49908960288,0.05736684799194336,signaling,0
89.5,50.65500962392564,70.0,469.0,8950,0.0012808688963302458,0.0024419490280336784,0.01529693603515625,0.12680602073669434,100,0.0,70579.68831697444,0.12680602073669434,signaling,0
87.41,33.30077927016123,70.0,409.0,8741,0.0007045919244939631,0.001405927506007767,0.010559558868408203,0.06975460052490234,100,0.0,125308.93482709698,0.06975460052490234,signaling,0
