Biflow_ID,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,packet_count,duration,mean_iat,std_iat,max_iat,min_iat,byte_rate,packet_rate,label
10.42.0.113_124.106.10.145_443_57996_UDP,1068.48794489093,435.1005975546885,78.0,1294.0,930653,871,132.2808256149292,0.1520469259941715,1.8258273758468122,25.52691125869751,0.0,7035.433810140454,6.584476543494014,Other/Media
10.42.0.113_124.106.10.145_443_61668_UDP,541.6969696969697,511.6401721409227,74.0,1294.0,17876,33,53.01064157485962,1.656582549214363,6.354790350638394,26.932512998580933,0.0,337.2153049221426,0.6225165060657141,Other/Media
10.42.0.113_124.106.10.145_443_63124_UDP,402.25,482.3208346111538,78.0,1294.0,8045,20,33.802958250045776,1.779103065791883,5.883959516215663,25.507410049438477,0.0,237.99691442662984,0.5916641750817399,Other/Media
10.42.0.113_124.106.10.145_443_63848_UDP,676.2380952380952,539.3212581580053,84.0,1274.0,14201,21,0.03978919982910156,0.001989459991455078,0.0041389301332410335,0.01871967315673828,2.384185791015625e-07,356896.92590117984,527.7681461815912,Other/Media
10.42.0.113_124.106.10.17_443_53952_UDP,1137.5020161290322,364.558786572074,84.0,1274.0,1128402,992,1.527876853942871,0.0015417526275911919,0.03471365891004975,1.0715596675872803,0.0,738542.0222487184,649.266561093235,Other/Media
10.42.0.113_124.106.10.17_443_56150_UDP,1057.1167002012073,435.6913727589244,84.0,1274.0,525387,497,11.187283754348755,0.022555007569251523,0.31193776057842887,6.539420127868652,0.0,46962.870038305766,44.42543574362892,Other/Media
10.42.0.113_124.106.10.17_443_58823_UDP,998.7333333333333,489.70266035172364,71.0,1294.0,179772,180,92.39866209030151,0.5161936429625783,3.458879664280112,25.509900331497192,0.0,1945.6125661072417,1.9480801342773262,Other/Media
10.42.0.113_124.106.10.17_443_64235_UDP,1060.2181818181818,448.27863457327084,71.0,1294.0,291560,275,102.26093196868896,0.37321508017769695,3.0588880704921255,25.510454416275024,0.0,2851.1376880286443,2.689199012923162,Other/Media
10.42.0.113_124.106.10.209_443_52835_UDP,1113.7891963109355,390.7461668302109,78.0,1294.0,845366,759,100.56003308296204,0.13266495129678368,1.6820035634520114,25.510879516601562,0.0,8406.580285191361,7.5477301387330975,Other/Media
10.42.0.113_124.106.10.209_443_55317_UDP,1105.3675889328063,392.59653939380195,84.0,1274.0,1118632,1012,14.953318357467651,0.014790621520739516,0.2302098135441042,6.40815806388855,0.0,74808.27321736816,67.6772812649527,Other/Media
10.42.0.113_124.106.10.209_443_57976_UDP,959.921052631579,504.2229412363815,78.0,1294.0,109431,114,119.76982188224792,1.059909928161486,5.020760669641195,28.459020376205444,0.0,913.6775639017804,0.9518257375405778,Other/Media
10.42.0.113_124.106.10.81_443_50674_UDP,418.88,481.72368179278874,78.0,1294.0,10472,25,51.12059926986694,2.1300249695777893,7.049151222433534,25.511624574661255,0.0,204.84892479192433,0.48903964092800883,Other/Media
10.42.0.113_124.106.10.81_443_51212_UDP,1147.3639455782313,352.31042356197577,84.0,1274.0,2698600,2352,3.095123767852783,0.0013165137251606905,0.0378745155888266,1.6127781867980957,0.0,871887.307429009,759.9047458211774,Other/Media
10.42.0.113_124.106.10.81_443_57548_UDP,1035.3651162790698,451.88454400289834,78.0,1294.0,445207,430,139.75131916999817,0.3257606507459165,2.7450630252049817,25.507741689682007,0.0,3185.708725029827,3.076894010567726,Other/Media
10.42.0.113_124.106.10.81_443_58938_UDP,1158.0496815286624,340.5322231213589,84.0,1274.0,1818138,1570,0.5588171482086182,0.0003561613436638739,0.0021534974814648934,0.04329800605773926,0.0,3253541.4353101,2809.500738358066,Other/Media
10.42.0.113_124.106.10.81_443_60009_UDP,1137.1283603778154,362.86584130555593,70.0,1274.0,4695203,4129,13.554136991500854,0.003283463418483734,0.0840028296499554,3.5732710361480713,0.0,346403.6593801934,304.6302171771526,Other/Media
10.42.0.113_124.106.11.17_443_49278_UDP,288.26666666666665,399.7133083709984,78.0,1294.0,4324,15,54.18273329734802,3.8701952355248586,9.48217877666848,28.599656105041504,0.0,79.80401978738158,0.27684095670923303,Other/Media
10.42.0.113_124.106.11.17_443_51709_TCP,406.2,535.8359450428834,54.0,1446.0,4062,10,0.012683868408203125,0.0014093187120225695,0.001363026028098929,0.0035088062286376953,4.76837158203125e-07,320224.0550933238,788.3408544887342,Other/Media
10.42.0.113_124.106.11.17_443_51718_TCP,350.6666666666667,504.7815258989664,66.0,1446.0,4208,12,0.02739238739013672,0.0024902170354669743,0.0030989686016440693,0.010550498962402344,0.0,153613.71487467573,438.0619245475544,Other/Media
10.42.0.113_124.106.11.17_443_51725_TCP,406.7857142857143,554.7228624111618,54.0,1446.0,5695,14,0.24392032623291016,0.018763102017916165,0.05532058533026535,0.21001553535461426,2.1457672119140625e-06,23347.692011817308,57.39555542852367,Other/Media
10.42.0.113_124.106.11.17_443_58854_UDP,230.04545454545453,340.8752740803281,81.0,1294.0,5061,22,102.17259573936462,4.865361701874506,10.014109189560529,25.520814895629883,0.0,49.53382963252141,0.2153219229234284,Other/Media
10.42.0.113_124.106.11.17_443_61011_UDP,206.07692307692307,318.5000812796567,78.0,1294.0,5358,26,128.1762490272522,5.127049961090088,10.241745716692964,26.005048513412476,0.0,41.80181585013455,0.2028456909487679,Other/Media
10.42.0.113_13.215.255.123_443_51729_TCP,126.4,117.08731784441899,54.0,360.0,632,5,0.0752403736114502,0.01881009340286255,0.015334933501893978,0.0345454216003418,0.0021326541900634766,8399.634000087188,66.45280063360117,Other/Media
10.42.0.113_13.215.255.123_443_51730_TCP,235.75675675675674,338.2030739232022,66.0,1466.0,8723,37,21.134040355682373,0.5870566765467325,2.5140463509453785,14.907472133636475,0.0,412.74642427320794,1.7507299894656303,Other/Media
10.42.0.113_13.215.255.123_443_52293_TCP,374.2,612.4548636430279,54.0,1599.0,1871,5,0.07049727439880371,0.017624318599700928,0.016342996202202423,0.03395509719848633,2.384185791015625e-07,26539.656693097004,70.92372178807322,Other/Media
10.42.0.113_13.227.180.4_443_52290_TCP,519.75,690.3286807746003,54.0,2580.0,18711,36,0.933915376663208,0.026683296476091658,0.10950582729855889,0.6136839389801025,0.0,20034.984360005095,38.54734845599826,Other/Media
10.42.0.113_13.227.180.4_443_52291_TCP,486.7037037037037,684.7016552141154,54.0,2537.0,13141,27,0.5631756782531738,0.021660603009737454,0.0881782860448248,0.46038007736206055,2.384185791015625e-07,23333.70771097967,47.94232616973222,Other/Media
